key,product_name,currency_symbol,price,product_url
1BD403_2CYS_F0002_V_OOO,Prada Carry medium leather shoulder bag,$,3450,https://www.prada.com/us/en/p/prada-carry-medium-leather-shoulder-bag/1BD403_2CYS_F0002_V_OOO
1BA496_2C6A_F0002_V_OOO,Prada Carry mini leather handbag,$,2550,https://www.prada.com/us/en/p/prada-carry-mini-leather-handbag/1BA496_2C6A_F0002_V_OOO
1NK001_2HG6_F0134,for SEA BEYOND for SEA BEYOND Prada Wish Re-Nylon pouch,$,775,https://www.prada.com/us/en/p/prada-wish-re-nylon-pouch/1NK001_2HG6_F0134
1NK063_2DX8_F0002,Prada Wish nappa leather pouch,$,1470,https://www.prada.com/us/en/p/prada-wish-nappa-leather-pouch/1NK063_2DX8_F0002
1NK063_2G6B_F077G,Prada Wish silk duchesse pouch,$,1270,https://www.prada.com/us/en/p/prada-wish-silk-duchesse-pouch/1NK063_2G6B_F077G
1NK001_2HG6_F0002,for SEA BEYOND for SEA BEYOND Prada Wish Re-Nylon pouch,$,775,https://www.prada.com/us/en/p/prada-wish-re-nylon-pouch/1NK001_2HG6_F0002
1BE103_AC4_F0002_V_OOO,Satin mini bucket bag,$,1590,https://www.prada.com/us/en/p/satin-mini-bucket-bag/1BE103_AC4_F0002_V_OOO
1BA656_AC4_F0002_V_OOO,Prada Minuit satin handbag,$,2550,https://www.prada.com/us/en/p/prada-minuit-satin-handbag/1BA656_AC4_F0002_V_OOO
1BD406_AC4_F0002_V_OOO,Satin mini shoulder bag,$,1990,https://www.prada.com/us/en/p/satin-mini-shoulder-bag/1BD406_AC4_F0002_V_OOO
1NE064_AC4_F0002,Satin mini-bag,$,1470,https://www.prada.com/us/en/p/satin-mini-bag/1NE064_AC4_F0002
1N204W_NZV_F0WHB,Prada Re-Edition 2005 Saffiano leather mini-bag,$,2100,https://www.prada.com/us/en/p/prada-re-edition-2005-saffiano-leather-mini-bag/1N204W_NZV_F0WHB
1N204W_2G64_F0041,Prada Re-Edition 2005 suede mini-bag,$,2100,https://www.prada.com/us/en/p/prada-re-edition-2005-suede-mini-bag/1N204W_2G64_F0041
1N204X_R064_F0002,Prada Re-Edition 2005 Re-Nylon and Saffiano mini bag,$,1390,https://www.prada.com/us/en/p/prada-re-edition-2005-re-nylon-and-saffiano-mini-bag/1N204X_R064_F0002
1BG628_2HF2_F0002_V_OOO,Prada Bonnie medium antiqued leather tote bag,$,3700,https://www.prada.com/us/en/p/prada-bonnie-medium-antiqued-leather-tote-bag/1BG628_2HF2_F0002_V_OOO
1BG628_2HF2_F0042_V_OOO,Prada Bonnie medium antiqued leather tote bag,$,3700,https://www.prada.com/us/en/p/prada-bonnie-medium-antiqued-leather-tote-bag/1BG628_2HF2_F0042_V_OOO
1BG600_2HFQ_F0002_V_OOO,Large leather tote bag,$,4700,https://www.prada.com/us/en/p/large-leather-tote-bag/1BG600_2HFQ_F0002_V_OOO
1BG600_2HFQ_F0036_V_OOO,Large leather tote bag,$,4700,https://www.prada.com/us/en/p/large-leather-tote-bag/1BG600_2HFQ_F0036_V_OOO
1BG600_2HFQ_F0LU3_V_OOO,Large leather tote bag,$,4700,https://www.prada.com/us/en/p/large-leather-tote-bag/1BG600_2HFQ_F0LU3_V_OOO
1BB158_2HFP_F0324_V_OOO,Medium leather top-handle bag,$,4500,https://www.prada.com/us/en/p/medium-leather-top-handle-bag/1BB158_2HFP_F0324_V_OOO
1BB156_2HFP_F0324_V_OOO,Large washed leather top-handle bag,$,4750,https://www.prada.com/us/en/p/large-washed-leather-top-handle-bag/1BB156_2HFP_F0324_V_OOO
1BC276_2HFP_F0324_V_OOO,Medium washed leather bag,$,4450,https://www.prada.com/us/en/p/medium-washed-leather-bag/1BC276_2HFP_F0324_V_OOO
1BG604_2HIK_F0572_V_OOO,Large leather tote bag,$,4700,https://www.prada.com/us/en/p/large-leather-tote-bag/1BG604_2HIK_F0572_V_OOO
1BG602_2HIK_F0572_V_OOO,Large leather tote bag,$,4900,https://www.prada.com/us/en/p/large-leather-tote-bag/1BG602_2HIK_F0572_V_OOO
1BG602_2HIK_F0036_V_OOO,Large leather tote bag,$,4900,https://www.prada.com/us/en/p/large-leather-tote-bag/1BG602_2HIK_F0036_V_OOO
1BC280_2HIK_F0572_V_OOO,Prada Aimèe large leather shoulder bag,$,4300,https://www.prada.com/us/en/p/prada-aimee-large-leather-shoulder-bag/1BC280_2HIK_F0572_V_OOO
1BC280_2HIK_F0036_V_OOO,Prada Aimèe large leather shoulder bag,$,4300,https://www.prada.com/us/en/p/prada-aimee-large-leather-shoulder-bag/1BC280_2HIK_F0036_V_OOO
1BC229_2CYS_F04XV_V_LVM,Prada Aimée medium leather shoulder bag,$,3300,https://www.prada.com/us/en/p/prada-aimee-medium-leather-shoulder-bag/1BC229_2CYS_F04XV_V_LVM
1BC228_2CYS_F0002_V_LVM,Prada Aimée large leather shoulder bag,$,3600,https://www.prada.com/us/en/p/prada-aimee-large-leather-shoulder-bag/1BC228_2CYS_F0002_V_LVM
1BC231_2GB8_F05GU_V_LVM,Prada Aimée large nubuck leather shoulder bag,$,3700,https://www.prada.com/us/en/p/prada-aimee-large-nubuck-leather-shoulder-bag/1BC231_2GB8_F05GU_V_LVM
1BC231_2GB8_F0324_V_LVM,Prada Aimée large nubuck leather shoulder bag,$,3700,https://www.prada.com/us/en/p/prada-aimee-large-nubuck-leather-shoulder-bag/1BC231_2GB8_F0324_V_LVM
1BA426_2GB8_F0F24_V_MOM,Prada Bonnie medium nubuck leather handbag,$,3500,https://www.prada.com/us/en/p/prada-bonnie-medium-nubuck-leather-handbag/1BA426_2GB8_F0F24_V_MOM
1BA433_2GB8_F0F24_V_MOM,Prada Bonnie large nubuck leather handbag,$,3750,https://www.prada.com/us/en/p/prada-bonnie-large-nubuck-leather-handbag/1BA433_2GB8_F0F24_V_MOM
1BA486_2C4S_F0324_V_OOO,Prada Bonnie suede mini handbag,$,2850,https://www.prada.com/us/en/p/prada-bonnie-suede-mini-handbag/1BA486_2C4S_F0324_V_OOO
1BH229_2CYR_F01D6_V_OOO,Prada Bonnie leather mini shoulder bag,$,2550,https://www.prada.com/us/en/p/prada-bonnie-leather-mini-shoulder-bag/1BH229_2CYR_F01D6_V_OOO
1BH229_2CYR_F0002_V_OOO,Prada Bonnie leather mini shoulder bag,$,2550,https://www.prada.com/us/en/p/prada-bonnie-leather-mini-shoulder-bag/1BH229_2CYR_F0002_V_OOO
1BA486_2CYR_F05GU_V_OOO,Prada Bonnie leather mini handbag,$,2850,https://www.prada.com/us/en/p/prada-bonnie-leather-mini-handbag/1BA486_2CYR_F05GU_V_OOO
1BA426_2CYR_F05GU_V_MOO,Prada Bonnie medium leather handbag,$,3400,https://www.prada.com/us/en/p/prada-bonnie-medium-leather-handbag/1BA426_2CYR_F05GU_V_MOO
1BA426_2CYR_F0002_V_MOO,Prada Bonnie medium leather handbag,$,3400,https://www.prada.com/us/en/p/prada-bonnie-medium-leather-handbag/1BA426_2CYR_F0002_V_MOO
1BA433_2CYR_F05GU_V_MOO,Prada Bonnie large leather handbag,$,3650,https://www.prada.com/us/en/p/prada-bonnie-large-leather-handbag/1BA433_2CYR_F05GU_V_MOO
1BB154_R064_F0632_V_MOM,Large Re-Nylon and Saffiano leather duffel bag,$,2450,https://www.prada.com/us/en/p/large-re-nylon-and-saffiano-leather-duffel-bag/1BB154_R064_F0632_V_MOM
1BB154_R064_F0KVH_V_MOM,Large Re-Nylon and Saffiano leather duffel bag,$,2450,https://www.prada.com/us/en/p/large-re-nylon-and-saffiano-leather-duffel-bag/1BB154_R064_F0KVH_V_MOM
1BD394_RDLN_F0040_V_NOO,for SEA BEYOND for SEA BEYOND Prada Explore medium Re-Nylon shoulder bag with flap,$,2500,https://www.prada.com/us/en/p/prada-explore-medium-re-nylon-shoulder-bag-with-flap/1BD394_RDLN_F0040_V_NOO
1BD391_RDLN_F0134_V_NOO,for SEA BEYOND for SEA BEYOND Prada Explore large Re-Nylon shoulder bag with flap,$,2600,https://www.prada.com/us/en/p/prada-explore-large-re-nylon-shoulder-bag-with-flap/1BD391_RDLN_F0134_V_NOO
1BD394_2DX8_F0036_V_NOO,Prada Explore medium nappa leather shoulder bag with flap,$,3700,https://www.prada.com/us/en/p/prada-explore-medium-nappa-leather-shoulder-bag-with-flap/1BD394_2DX8_F0036_V_NOO
1BC264_RDLN_F0040_V_NOO,for SEA BEYOND for SEA BEYOND Prada Explore large Re-Nylon and leather bag,$,2450,https://www.prada.com/us/en/p/prada-explore-large-re-nylon-and-leather-bag/1BC264_RDLN_F0040_V_NOO
1BC264_RDLN_F0D57_V_NOO,Prada Explore large Re-Nylon and leather bag,$,2450,https://www.prada.com/us/en/p/prada-explore-large-re-nylon-and-leather-bag/1BC264_RDLN_F0D57_V_NOO
1BC264_2DX8_F0036_V_NOO,Prada Explore large nappa leather bag,$,3700,https://www.prada.com/us/en/p/prada-explore-large-nappa-leather-bag/1BC264_2DX8_F0036_V_NOO
1BC264_2DX8_F0D57_V_NOO,Prada Explore large nappa leather bag,$,3700,https://www.prada.com/us/en/p/prada-explore-large-nappa-leather-bag/1BC264_2DX8_F0D57_V_NOO
1BZ811_RV44_F0D57_V_OTM,Medium Re-Nylon Backpack,$,2500,https://www.prada.com/us/en/p/medium-re-nylon-backpack/1BZ811_RV44_F0D57_V_OTM
1BZ811_RV44_F0048_V_OTM,for SEA BEYOND for SEA BEYOND Medium Re-Nylon Backpack,$,2500,https://www.prada.com/us/en/p/medium-re-nylon-backpack/1BZ811_RV44_F0048_V_OTM
1BZ811_RV44_F0002_V_OTM,for SEA BEYOND for SEA BEYOND Medium Re-Nylon Backpack,$,2500,https://www.prada.com/us/en/p/medium-re-nylon-backpack/1BZ811_RV44_F0002_V_OTM
1BZ811_RV44_F0134_V_OTM,for SEA BEYOND for SEA BEYOND Medium Re-Nylon Backpack,$,2500,https://www.prada.com/us/en/p/medium-re-nylon-backpack/1BZ811_RV44_F0134_V_OTM
1BZ677_RV44_F0DMH_V_OOM,for SEA BEYOND for SEA BEYOND Prada Re-Edition 1978 small Re-Nylon backpack,$,2400,https://www.prada.com/us/en/p/prada-re-edition-1978-small-re-nylon-backpack/1BZ677_RV44_F0DMH_V_OOM
1BZ677_RV44_F0Y8C_V_OOM,for SEA BEYOND for SEA BEYOND Prada Re-Edition 1978 small Re-Nylon backpack,$,2400,https://www.prada.com/us/en/p/prada-re-edition-1978-small-re-nylon-backpack/1BZ677_RV44_F0Y8C_V_OOM
1BZ677_RV44_F0D57_V_OOO,Small Re-Nylon backpack,$,2400,https://www.prada.com/us/en/p/small-re-nylon-backpack/1BZ677_RV44_F0D57_V_OOO
1BZ677_RV44_F0002_V_OOO,for SEA BEYOND for SEA BEYOND Small Re-Nylon backpack,$,2400,https://www.prada.com/us/en/p/small-re-nylon-backpack/1BZ677_RV44_F0002_V_OOO
1BZ039_RV44_F0002_V_DMM,for SEA BEYOND for SEA BEYOND Re-Nylon backpack,$,2850,https://www.prada.com/us/en/p/re-nylon-backpack/1BZ039_RV44_F0002_V_DMM
1BG102_RV44_F0002_V_OOO,for SEA BEYOND for SEA BEYOND Prada Re-Nylon baby bag,$,2450,https://www.prada.com/us/en/p/prada-re-nylon-baby-bag/1BG102_RV44_F0002_V_OOO
1BG582_RV44_F0040_V_OOO,Re-Nylon tote bag,$,2250,https://www.prada.com/us/en/p/re-nylon-tote-bag/1BG582_RV44_F0040_V_OOO
1BH038_RV44_F0002_V_UOP,for SEA BEYOND for SEA BEYOND Prada Duet Re-Nylon bucket bag,$,1950,https://www.prada.com/us/en/p/prada-duet-re-nylon-bucket-bag/1BH038_RV44_F0002_V_UOP
1BH038_RV44_F0ST1_V_UOP,for SEA BEYOND for SEA BEYOND Prada Duet Re-Nylon bucket bag,$,1950,https://www.prada.com/us/en/p/prada-duet-re-nylon-bucket-bag/1BH038_RV44_F0ST1_V_UOP
1BH038_RV44_F0D57_V_UOP,Prada Duet Re-Nylon bucket bag,$,1950,https://www.prada.com/us/en/p/prada-duet-re-nylon-bucket-bag/1BH038_RV44_F0D57_V_UOP
1BH038_RV44_F0040_V_UOP,for SEA BEYOND for SEA BEYOND Prada Duet Re-Nylon bucket bag,$,1950,https://www.prada.com/us/en/p/prada-duet-re-nylon-bucket-bag/1BH038_RV44_F0040_V_UOP
1BC167_RV44_F0038_V_B1M,for SEA BEYOND for SEA BEYOND Re-Nylon shoulder bag,$,2150,https://www.prada.com/us/en/p/re-nylon-shoulder-bag/1BC167_RV44_F0038_V_B1M
1BC421_RV44_F0002_V_D1M,for SEA BEYOND for SEA BEYOND Re-Nylon bag,$,2100,https://www.prada.com/us/en/p/re-nylon-bag/1BC421_RV44_F0002_V_D1M
1BD994_RV44_F0048_V_B1M,for SEA BEYOND for SEA BEYOND Re-Nylon shoulder bag,$,2200,https://www.prada.com/us/en/p/re-nylon-shoulder-bag/1BD994_RV44_F0048_V_B1M
1BD953_RV44_F0002_V_B1M,for SEA BEYOND for SEA BEYOND Re-Nylon shoulder bag,$,2250,https://www.prada.com/us/en/p/re-nylon-shoulder-bag/1BD953_RV44_F0002_V_B1M
1BD313_RDLN_F0038_V_OOO,for SEA BEYOND for SEA BEYOND Prada Traveller small padded Re-Nylon shoulder bag,$,2650,https://www.prada.com/us/en/p/prada-traveller-small-padded-re-nylon-shoulder-bag/1BD313_RDLN_F0038_V_OOO
1BD255_RDLN_F0038_V_OOO,for SEA BEYOND for SEA BEYOND Prada Traveller medium padded Re-Nylon bag,$,3050,https://www.prada.com/us/en/p/prada-traveller-medium-padded-re-nylon-bag/1BD255_RDLN_F0038_V_OOO
1BA916_NZV_F0D57_V_EOO,Prada Galleria mini Saffiano leather bag,$,3800,https://www.prada.com/us/en/p/prada-galleria-mini-saffiano-leather-bag/1BA916_NZV_F0D57_V_EOO
1BA896_NZV_F0D57_V_EOO,Prada Galleria small Saffiano leather bag,$,4600,https://www.prada.com/us/en/p/prada-galleria-small-saffiano-leather-bag/1BA896_NZV_F0D57_V_EOO
1BA896_NZV_F0424_V_EOO,Prada Galleria small Saffiano leather bag,$,4600,https://www.prada.com/us/en/p/prada-galleria-small-saffiano-leather-bag/1BA896_NZV_F0424_V_EOO
1BA863_NZV_F0424_V_EOO,Prada Galleria medium Saffiano leather bag,$,4950,https://www.prada.com/us/en/p/prada-galleria-medium-saffiano-leather-bag/1BA863_NZV_F0424_V_EOO
1BC204_2AOS_F0424_V_QOC,for SEA BEYOND for SEA BEYOND Prada Re-Edition quilted Re-Nylon mini-bag,$,2500,https://www.prada.com/us/en/p/prada-re-edition-quilted-re-nylon-mini-bag/1BC204_2AOS_F0424_V_QOC
1BC204_NZV_F0CUK_V_QOM,Prada Re-Edition mini Saffiano leather bag,$,2750,https://www.prada.com/us/en/p/prada-re-edition-mini-saffiano-leather-bag/1BC204_NZV_F0CUK_V_QOM
1BA916_NZV_F0924_V_EOO,Prada Galleria mini Saffiano leather bag,$,3800,https://www.prada.com/us/en/p/prada-galleria-mini-saffiano-leather-bag/1BA916_NZV_F0924_V_EOO
1BC204_2AOS_F0924_V_QOC,for SEA BEYOND for SEA BEYOND Prada Re-Edition quilted Re-Nylon mini-bag,$,2500,https://www.prada.com/us/en/p/prada-re-edition-quilted-re-nylon-mini-bag/1BC204_2AOS_F0924_V_QOC
1BH204_R064_F0WHB_V_V9L,for SEA BEYOND for SEA BEYOND Prada Re-Edition 2005 Re-Nylon bag,$,2200,https://www.prada.com/us/en/p/prada-re-edition-2005-re-nylon-bag/1BH204_R064_F0WHB_V_V9L
1BC499_ZO6_F0ZCL_V_OOO,Prada Cleo brushed leather shoulder bag,$,3450,https://www.prada.com/us/en/p/prada-cleo-brushed-leather-shoulder-bag/1BC499_ZO6_F0ZCL_V_OOO
1BE088_RUKW_F0505_V_OOO,for SEA BEYOND for SEA BEYOND Prada Petit Sac Noir mini Re-Nylon and nappa leather bucket bag,$,2450,https://www.prada.com/us/en/p/prada-petit-sac-noir-mini-re-nylon-and-nappa-leather-bucket-bag/1BE088_RUKW_F0505_V_OOO
1BA486_2HIM_F0G3N_V_OOO,Prada Bonnie mini printed leather handbag,$,3600,https://www.prada.com/us/en/p/prada-bonnie-mini-printed-leather-handbag/1BA486_2HIM_F0G3N_V_OOO
1BA426_2HIM_F0G3N_V_MOO,Prada Bonnie medium printed leather handbag,$,3850,https://www.prada.com/us/en/p/prada-bonnie-medium-printed-leather-handbag/1BA426_2HIM_F0G3N_V_MOO
